"","X","Site","origin_date","time","date","daily_Ta","daily_Fsd","daily_Fld","daily_GPP","dateD","DOY","year","month","day","DAS","GDD","Rh","PAR","fPAR","moisture_stress","esat","eact","vapor_stress","heat_stress","APAR","LUE","LUEmax","biomass","NDVI_vals","LAI_vals","SAVI_vals","Lat","Dlength","GPP_pred","Crop","GCVI","blue","green","red","nir","swir1","swir2","sensor"
"22",22,"KR_CRK","2018_01_01","2018-01-01","2018-01-01",-4.8221875,128.799,208.615625,0.2828014375,"2018-01-01",1,2018,1,1,0,NA,48.9980445276614,5.341552128,0.053754877025187,0,0.426898113433127,0.20917172770771,1,-0.392024362280461,0.287134477764266,0.984909369651445,-Inf,0,0.170847157537937,0.048159974158043,0.120004225149751,38.2013,9.5509796801193,0,"Rice",0.00536189163818059,0.0714042,0.0631976,0.0723074,0.1032904,0.1118202,0.0874562,"Ls8"
"23",23,"KR_CRK","2018_03_22","2018-03-22","2018-03-22",4.099375,257.0361875,255.046791666667,1.13717047916667,"2018-03-22",81,2018,3,22,0,NA,53.5185483953579,10.659804768,0.0594222736820579,0.101665652426837,0.818966978441854,0.438299238699404,1,0.291953006431969,0.633429836321401,1.79525878630963,60.4839098008066,0.371702896722127,0.175355826318264,0.0439498345425818,0.109662314206362,38.2013,12.1742229810449,0.0371702896722127,"Rice",0.0141712240266113,0.0980854,0.0901798,0.1009418,0.1448856,0.1714456,0.129563,"Ls8"
"24",24,"KR_CRK","2018_05_25","2018-05-25","2018-05-25",18.55875,334.0924375,327.387604166667,1.85979270833333,"2018-05-25",145,2018,5,25,40,193.814645833333,64.6722056900186,13.855481568,0.0243893358458578,0.1351428706792,2.13762659367945,1.38245026754891,1,0.950978247600991,0.337925993268045,5.50355031984217,42.8232100028964,0.981120662237517,0.147485549598932,0.0184171553514898,0.0870039767026901,38.2013,14.479292410859,0.0981120662237518,"Rice",-0.0075623723335916,0.1182376,0.116639,0.1167022,0.1580694,0.0710572,0.052495,"Ls8"
"25",25,"KR_CRK","2018_10_16","2018-10-16","2018-10-16",10.548,172.647041666667,297.788270833333,0.15657475,"2018-10-16",289,2018,10,16,184,1858.355375,61.9130929221394,7.160018112,0.144368075330853,0,1.27379019861731,0.788642909303039,1,0.664858371210615,1.03367803416349,0.151473422889081,Inf,0,0.242934029698372,0.163165247924626,0.15878196708858,38.2013,11.2346647013332,0,"Rice",-0.0360538594441726,0.0916092,0.0815222,0.0847166,0.140191,0.151195,0.105543,"Ls8"
"26",26,"KR_CRK","2018_11_01","2018-11-01","2018-11-01",4.63845833333333,179.662520833333,258.011020833333,0.0798638766666667,"2018-11-01",305,2018,11,1,200,1826.43997916667,63.8024932708135,7.450964064,0.126641512379199,0,0.850539647709355,0.542665501495363,1,0.327326434368331,0.943601357748025,0.0846373057975116,Inf,0,0.228831752091646,0.131591122914106,0.140955871790648,38.2013,10.6208190874213,0,"Rice",-0.00897094771831331,0.0696048,0.0620534,0.068093,0.1090446,0.102876,0.068104,"Ls8"
"27",27,"KR_CRK","2015_01_01","2015-01-01","2015-01-01",-9.12668085106383,120.618595744681,194.215340425532,0.618691361702128,"2015-01-01",1,2015,1,1,0,NA,69.6781580906896,5.0022944027234,-0.0517309147732333,NA,0.30612350765231,0.213301221614741,1,-0.782778609047292,-0.258773265417906,-2.39086275277692,NA,NA,0.0869284687563777,0.00100000004749745,0.0753367780055851,38.2013,9.5509796801193,NA,"Rice",-0.0640462700428751,0.124885538046356,0.118911929790283,0.134146516618378,0.152829131736565,0.0630053031343384,0.046600022583313,"Ls7"
"28",28,"KR_CRK","2015_01_17","2015-01-17","2015-01-17",-5.33116666666667,129.3249375,215.455916666667,0.640940416666667,"2015-01-17",17,2015,1,17,0,NA,58.5159075798269,5.363363808,0.0377217474408448,0,0.41070124212035,0.240325559268345,1,-0.436283678345008,0.202315454998743,3.16802498687333,-Inf,0,0.158092082291842,0.0251620416494552,0.104336813762784,38.2013,9.82623192617179,0,"Rice",0.0691792617761041,0.0693110580625,0.0619987675458145,0.0699865140625,0.0931316914065437,0.115764719424576,0.0836947476251526,"Ls7"
"29",29,"KR_CRK","2015_03_06","2015-03-06","2015-03-06",-0.128104166666667,210.4279375,232.878229166667,0.835568354166666,"2015-03-06",65,2015,3,6,0,NA,43.2074269293816,8.726867424,0.0392134268326312,0.0290568300320891,0.605128898715989,0.261460626741282,1,-0.00975467669993277,0.342210377209097,2.44168035166309,-8614.45279097601,-0.0176835221064539,0.159278780296445,0.0197925700328778,0.0934362886101007,38.2013,11.5124818839909,-0.00176835221064539,"Rice",0.0413218743401897,0.085041247,0.076162304,0.083162904,0.110787105,0.134266426,0.088505312,"Ls7"
"30",30,"KR_CRK","2015_03_22","2015-03-22","2015-03-22",5.5590625,241.723375,243.954770833333,0.897694104166667,"2015-03-22",81,2015,3,22,0,NA,28.4161744118256,10.024751808,0.0265628382076323,0.0238822914054638,0.906944441610684,0.257718914346449,1,0.386039891368772,0.266285860347574,3.37116699698188,365.655481869178,0.0267842918547535,0.149214668422937,0.0125189229485113,0.0954691154509783,38.2013,12.1742229810449,0.00267842918547535,"Rice",-0.308529743143276,0.106500508065338,0.0970643847413635,0.10861018218689,0.141041690552467,0.191662443348389,0.141090017033234,"Ls7"
"31",31,"KR_CRK","2015_04_23","2015-04-23","2015-04-23",12.8702708333333,288.048604166667,279.5874375,0.981607083333333,"2015-04-23",113,2015,4,23,8,10.5910625,55.1489760139034,11.945951712,-0.0578554043207178,0.00590036384289558,1.48510797381424,0.819021840259383,1,0.770079257108153,-0.691137866293531,-1.42027680902154,-312.578265791877,0.00327555224910611,0.082056162036024,0.00121847970061935,0.0516414234042168,38.2013,13.4605134790206,0.000327555224910611,"Rice",-0.40568158232773,0.123575368,0.12365175,0.135574397,0.151974525,0.079202848,0.054042812,"Ls7"
"32",32,"KR_CRK","2015_05_25","2015-05-25","2015-05-25",20.7640833333333,342.8944375,330.617208333333,1.202076125,"2015-05-25",145,2015,5,25,40,224.555333333333,59.9513491816058,14.220518112,0.0487480268811434,0.998717603792105,2.45119346995846,1.46952355629152,1,0.986961376146566,0.693222199187563,1.73404159071766,1.75920579710975,13.6863513500243,0.166863983199,0.0289233078900725,0.0936096014454961,38.2013,14.479292410859,1.36863513500243,"Rice",-0.359572260660385,0.106358082042503,0.105602513939087,0.104962796221504,0.140889210456581,0.0599704406805401,0.0409116326935959,"Ls7"
"33",33,"KR_CRK","2015_06_10","2015-06-10","2015-06-10",23.2603333333333,347.654916666667,356.1284375,6.24261041666667,"2015-06-10",161,2015,6,10,56,396.5918125,59.027753948678,14.417944704,0.200779458377361,1,2.85398037499173,1.68464051349368,1,0.999811855818332,2.89482712858386,2.15647088388332,2.15687668768269,54.7373579406738,0.28781182050705,0.239537387751043,0.159348836988211,38.2013,14.7595956386878,5.47373579406738,"Rice",-0.240350793847368,0.105626359968506,0.09878613375,0.0911688758668976,0.159080493703926,0.0801681562265511,0.049616843227787,"Ls7"
"34",34,"KR_CRK","2015_09_14","2015-09-14","2015-09-14",19.2363541666667,260.670979166667,339.221291666667,5.51716854166667,"2015-09-14",257,2015,9,14,152,1634.4845625,78.2074435722864,10.810546848,0.191737454455346,0.510892822369595,2.23000450374789,1.74402951392808,1,0.964291175606711,2.07278673390578,2.66171548255261,5.4028590410577,18.8874273098804,0.280618499964476,0.31105850701686,0.214895772635937,38.2013,12.5347203600157,1.88874273098804,"Rice",-0.179345996555639,0.160257736,0.155018408,0.154696994,0.256761892,0.199154456,0.122564437,"Ls7"
"35",35,"KR_CRK","2015_10_16","2015-10-16","2015-10-16",15.185625,192.958479166667,317.544104166667,0.2367548,"2015-10-16",289,2015,10,16,184,1832.10733333333,69.8761453718692,8.002374048,0.0886758701018989,0,1.72583335287365,1.2059458225302,1,0.857707415232734,0.709617481587255,0.333637214616575,Inf,0,0.198628377169371,0.0854936844110489,0.134147053286433,38.2013,11.2346647013332,0,"Rice",0.16052277749729,0.08737166,0.083418294,0.094587154,0.13708072,0.181246909,0.119114066,"Ls7"
"36",36,"KR_CRK","2015_11_17","2015-11-17","2015-11-17",11.9590208333333,144.303041666667,310.614166666667,0.394255666666667,"2015-11-17",321,2015,11,17,0,NA,82.9523119623335,5.984535744,0.0289092515164614,0,1.39877843663037,1.16031905241547,1,0.730780167533384,0.173008449032549,2.27882319546424,Inf,0,0.151081345677376,0.0156151684862562,0.0809651681408286,38.2013,10.0843854071057,0,"Rice",-0.0285345578885258,0.0583860628566742,0.0501769331030769,0.0516980739400787,0.0670775414205551,0.0630766264047966,0.0376222317330818,"Ls7"
"37",37,"KR_CRK","2015_12_19","2015-12-19","2015-12-19",-2.75589583333333,113.105479166667,227.7115,0.2950780625,"2015-12-19",353,2015,12,19,0,NA,56.1207742911654,4.690710432,-0.015860656070672,0,0.498621295721089,0.279830131939317,1,-0.217900659505723,-0.0743977448890652,-3.96622320931894,Inf,0,0.115464871861041,0.00178229057579301,0.0710875937156379,38.2013,9.50820307395815,0,"Rice",-0.0934353453694705,0.06897605,0.058357669,0.059474699,0.071891326,0.070347772,0.046601907,"Ls7"
"38",38,"KR_CRK","2016_01_04","2016-01-04","2016-01-04",1.480375,115.29275,245.868791666667,0.300330375,"2016-01-04",4,2016,1,4,0,NA,57.6720039741291,4.781420928,0.0154029866299033,0,0.679827434593853,0.392070105096187,1,0.110002124844187,0.0736481626259238,4.07790723205748,Inf,0,0.140336504876614,0.00864692125702277,0.0757432429119945,38.2013,9.58505204708906,0,"Rice",-0.0402812751609348,0.0577380777165832,0.0463651866195869,0.047853631774025,0.0611122760070991,0.0739719249089966,0.0481269220485878,"Ls7"
"39",39,"KR_CRK","2016_01_20","2016-01-20","2016-01-20",-13.7930625,131.869770833333,183.028020833333,0.131288996666667,"2016-01-20",20,2016,1,20,0,NA,36.1436141429711,5.468903136,-0.0241982456193864,NA,0.210398457589187,0.0760456066737984,1,-1.2467065994266,-0.132337861353561,-0.992074341566606,NA,NA,0.108831944614649,0.00132671573781408,0.0812374614551663,38.2013,9.90109075571803,NA,"Rice",-0.0424168283010221,0.095749391,0.087537508,0.096910958,0.11578136,0.094306864,0.072248,"Ls7"
"40",40,"KR_CRK","2016_02_05","2016-02-05","2016-02-05",-5.07997916666667,154.800916666667,208.960083333333,0.08955368125,"2016-02-05",36,2016,2,5,0,NA,32.5649495664988,6.419903616,-0.0126963307554275,0.000920480620102509,0.418625180539583,0.13632507891538,1,-0.414374482701259,-0.081509219726701,-1.09869388457247,2880.5077919979,-0.000368894044604039,0.117982234880328,0.00100000004749745,0.0738594974949956,38.2013,10.3926975773908,-3.68894044604039e-05,"Rice",-0.0423004600911556,0.0828982389754028,0.071744876570858,0.0778071435971222,0.0946942522657242,0.11085107819809,0.0858738639570885,"Ls7"
"41",41,"KR_CRK","2016_02_21","2016-02-21","2016-02-21",-1.71485416666667,183.128104166667,214.764729166667,0.0785583220833333,"2016-02-21",52,2016,2,21,0,NA,31.75330439153,7.594688736,0.0239942589843273,0.033252555647914,0.538646252545517,0.171037984164347,1,-0.133624925477178,0.182228928436937,0.431096877741448,-97.0202462341167,-0.0248014993784091,0.147171248197556,0.00917508545098826,0.0843612524494529,38.2013,10.9889715006301,-0.00248014993784091,"Rice",0.0172207183191561,0.076707325,0.06629552,0.072630305,0.093943933,0.11438428,0.078749877,"Ls7"
"42",42,"KR_CRK","2016_03_08","2016-03-08","2016-03-08",2.0878125,185.4865,245.523,0.0807462514583333,"2016-03-08",68,2016,3,8,0,NA,36.7273196808345,7.692496128,0.0105038665434718,0.0498811236531276,0.710088264906396,0.260796387068263,1,0.153665708632999,0.0808009527146853,0.999323012235448,130.374512413619,-0.00180066470556472,0.136439034640789,0.00432604581932537,0.0826825112104416,38.2013,11.6358094012869,-0.000180066470556472,"Rice",-0.0131199577519897,0.09398456,0.084931148,0.091913372,0.116082925,0.101714752,0.065867382,"Ls7"
"43",43,"KR_CRK","2016_03_24","2016-03-24","2016-03-24",4.3970625,263.6435625,251.485083333333,0.114600154166667,"2016-03-24",84,2016,3,24,0,NA,50.3196489735444,10.933825824,0.0412279247125238,0.0571084220881262,0.836271432359626,0.420808849229396,1,0.311576341564489,0.450778947891721,0.254226943610939,14.2875229792252,0.115488700480855,0.160881403908134,0.0214319406996947,0.0959690874814987,38.2013,12.2985150723488,0.0115488700480855,"Rice",-0.308495227214896,0.09462701,0.088358475,0.09701125,0.128366184,0.161358668,0.112411081,"Ls7"
"44",44,"KR_CRK","2016_04_25","2016-04-25","2016-04-25",15.8935625,291.809395833333,309.616041666667,0.303885304166667,"2016-04-25",116,2016,4,25,11,30.8431458333333,53.9806120813444,12.101919264,-0.0693076391753461,0.496712617271257,1.80596178668134,0.974869226405769,1,0.880813424637257,-0.838755453678482,-0.362305011352158,-0.828104651523158,0.344213355779648,0.0729453944507986,0.00150750821339898,0.0474591873306781,38.2013,13.5726699150215,0.0344213355779648,"Rice",-0.410699418186567,0.128833017156601,0.134163078539848,0.148832291145798,0.163482635219818,0.0758462698914795,0.0510165185397034,"Ls7"
"45",45,"KR_CRK","2016_05_11","2016-05-11","2016-05-11",15.63625,333.93575,315.001895833333,0.420492993125,"2016-05-11",132,2016,5,11,27,119.903270833333,71.7527557175307,13.848983424,0.00794397029743063,0.301751103302522,1.77646836577032,1.27466500689038,1,0.872622586774745,0.110015912969865,3.82211065448486,14.5153642838265,1.65919780883505,0.134402522114106,0.0140058886935003,0.0780651764641516,38.2013,14.121556953532,0.165919780883505,"Rice",-0.391117308806913,0.116547232,0.116432548,0.116578992,0.146325355,0.053515296,0.036429168,"Ls7"
"46",46,"KR_CRK","2016_05_27","2016-05-27","2016-05-27",19.1208333333333,272.622020833333,365.392791666667,2.20291201041667,"2016-05-27",148,2016,5,27,43,257.0305625,71.7182048492426,11.306180448,0.0722236568160355,0.229845290069557,2.2140128991133,1.58785030637473,1,0.962158672483923,0.816573696576522,2.69775039246593,12.1988658915415,3.60898308822885,0.185539902001619,0.05455581836286,0.101910394020379,38.2013,14.5468017997281,0.360898308822885,"Rice",-0.375102392670448,0.1132302,0.10784694,0.100696324,0.13987342,0.058304486,0.039044682,"Ls7"
"47",47,"KR_CRK","2016_07_14","2016-07-14","2016-07-14",25.423125,300.185979166667,401.397520833333,13.5088619166667,"2016-07-14",196,2016,7,14,91,843.478875,73.9460675994062,12.449312928,0.707328850910216,0.754863281198078,3.24849980793477,2.40213786394203,1,0.982636459230428,8.80575820798394,1.53409412314076,2.06819189472238,156.981901378632,0.690794630795717,2.54206043198705,0.482817204445601,38.2013,14.5895018308497,15.6981901378632,"Rice",0.770465856858976,0.0885829644023438,0.0786872672173233,0.0552629434332276,0.314904734231323,0.135723065364487,0.0604797514245682,"Ls7"
"48",48,"KR_CRK","2017_01_22","2017-01-22","2017-01-22",-8.36035416666667,146.9703125,194.784229166667,0.60838775,"2017-01-22",22,2017,1,22,0,NA,54.2273900536977,6.0951528,-0.0219133460918814,NA,0.325092100253613,0.176288961238285,1,-0.710527906076522,-0.1335651927893,-4.55498724850969,NA,NA,0.110649684891105,0.00113612549961545,0.0921213943511248,38.2013,9.95446571737652,NA,"Rice",-0.0324725517569498,0.11946996925,0.11290990825,0.126061169,0.15125213025,0.093795928,0.068047556,"Ls7"
"49",49,"KR_CRK","2017_04_12","2017-04-12","2017-04-12",10.094375,303.330541666667,264.675395833333,0.0602633942916667,"2017-04-12",102,2017,4,12,0,NA,47.4426443463788,12.579724224,0.0263358826506138,0.0246741164498114,1.23575000548507,0.586272480112639,1,0.642397035619407,0.331298140940347,0.181900792200695,11.4759712671907,0.0672908352715263,0.149034115076065,0.0102259710559156,0.0946908844262361,38.2013,13.0326699430375,0.00672908352715263,"Rice",-0.3006450883881,0.105884540595123,0.10578632166243,0.120223988383453,0.155638396688751,0.202987417147369,0.156333355750557,"Ls7"
